alpha,mmse,q
0.020000000000000004,0.9862137481283741,2.013786251871626
0.02100301913217996,0.9855052714756241,2.014494728524376
0.022056340633335867,0.9847990375309994,2.0152009624690006
0.02316248721539157,0.9840846221005193,2.0159153778994807
0.02432410810668714,0.9832565749750688,2.016743425024931
0.02554398539689818,0.9824314556206746,2.0175685443793254
0.026825040700158894,0.9815373208776608,2.0184626791223392
0.028170342152347164,0.9805485735733237,2.0194514264266763
0.029583111759290133,0.9795835698558637,2.0204164301441363
0.031066733113489425,0.9786818638398178,2.021318136160182
0.03262475949784735,0.9775240445715121,2.022475955428488
0.03426092239580288,0.9763853572397241,2.023614642760276
0.03597914042825903,0.975313817348312,2.024686182651688
0.03778352873870569,0.9740710024119714,2.0259289975880286
0.03967840884901534,0.9728386798565607,2.0271613201434393
0.04166831900951639,0.9714131905467678,2.028586809453232
0.043758025068132526,0.9701207474944691,2.029879252505531
0.045952531884619875,0.9685973132525869,2.031402686747413
0.04825709531723901,0.9669110061799602,2.03308899382004
0.05067723481057014,0.9652795560532117,2.0347204439467883
0.053218746614619034,0.9636191659281756,2.0363808340718244
0.055887717666874046,0.9618812711314524,2.0381187288685476
0.05869054017056137,0.9599166761929432,2.040083323807057
0.061633926904013835,0.9580738909062636,2.0419261090937364
0.06472492729781917,0.9560703390886598,2.04392966091134
0.06797094431825264,0.9536642575591334,2.0463357424408666
0.07137975219742994,0.9514702797938632,2.0485297202061368
0.07495951505264427,0.9490653638086783,2.0509346361913217
0.07871880643948095,0.9466283168852243,2.0533716831147757
0.08266662988553945,0.9440660807891983,2.0559339192108017
0.08681244045394122,0.941400285971516,2.058599714028484
0.09116616738826805,0.938602175555225,2.061397824444775
0.09573823789316571,0.9355934266112151,2.064406573388785
0.10053960210756775,0.9324965799670433,2.0675034200329567
0.10558175933035029,0.9289941168486973,2.0710058831513027
0.11087678556122833,0.9255833882864675,2.0744166117135325
0.11643736242285462,0.9222306025316858,2.0777693974683142
0.12227680753338936,0.9184512831963807,2.0815487168036193
0.12840910640228315,0.9146233445711731,2.085376655428827
0.13484894592566424,0.9106196587635269,2.089380341236473
0.14161174956155131,0.9064646319328835,2.0935353680671165
0.14871371426913693,0.901987094623645,2.098012905376355
0.1561718493006113,0.8973137265659519,2.102686273434048
0.1640040169384332,0.8925279377045352,2.107472062295465
0.1722289752756139,0.8874737413165454,2.1125262586834546
0.18086642314147336,0.8826207343555925,2.1173792656444075
0.18993704728046604,0.8772128398582697,2.1227871601417303
0.19946257189706987,0.8716266625060767,2.1283733374939233
0.20946581068539888,0.8653864418315806,2.1346135581684194
0.21997072146815086,0.8590038370153072,2.1409961629846928
0.23100246357575005,0.8538791276812674,2.1461208723187326
0.24258745810310908,0.8461398064138841,2.153860193586116
0.2547534511883252,0.8395292935977898,2.16047070640221
0.2675295804648633,0.8319920678160422,2.168007932183958
0.2809464448463801,0.8248744788355147,2.1751255211644853
0.2950361778113231,0.8173200508305949,2.182679949169405
0.3098325243628233,0.8085490804089286,2.1914509195910714
0.32537092184819955,0.8020155243817895,2.1979844756182105
0.34168858483163805,0.7935014722287428,2.206498527771257
0.3588245942233194,0.7839652907343284,2.2160347092656716
0.37681999087845436,0.7756582423719949,2.224341757628005
0.39571787389040264,0.7662981197145511,2.233701880285449
0.4155635038132851,0.7567073820526189,2.243292617947381
0.4364044110613083,0.7473515920573388,2.252648407942661
0.4582905097444192,0.7376787328569887,2.2623212671430113
0.48127421721292707,0.7270033768627218,2.2729966231372782
0.505410579597402,0.7161621057094623,2.2838378942905377
0.5307574036445197,0.7059515622088988,2.2940484377911012
0.5573753951646003,0.6960626150075289,2.303937384992471
0.5853283044224232,0.684165215997071,2.315834784002929
0.6146830788195304,0.6739013443819664,2.3260986556180336
0.6455100232336937,0.6621908650014401,2.33780913499856
0.6778829683995597,0.6518100298553304,2.3481899701446696
0.7118794477337447,0.6387583869253914,2.3612416130746086
0.7475808830278771,0.6271332747922163,2.3728667252077837
0.7850727794543244,0.6144265057553677,2.3855734942446323
0.8244449303516436,0.6025436335547325,2.3974563664452675
0.865791632280217,0.5907645554640677,2.4092354445359323
0.9092119108631357,0.5781058316206997,2.4218941683793003
0.9548097579532168,0.565797362175914,2.434202637824086
1.0026943806941764,0.5529488970734064,2.4470511029265936
1.052980463072456,0.539068307568864,2.460931692431136
1.1057884405861251,0.5298610161258037,2.4701389838741963
1.1612447886886912,0.5150955355701754,2.4849044644298246
1.219482325698642,0.5028066013287642,2.497193398671236
1.2806405309001943,0.49245571243003594,2.507544287569964
1.344865878597094,0.4789131837523062,2.521086816247694
1.4123121889195385,0.4660438140634482,2.533956185936552
1.483140996224401,0.4524365370044534,2.5475634629955466
1.5575219359710768,0.4409337559691955,2.5590662440308045
1.6356331509995246,0.4323692169521416,2.5676307830478584
1.71766171818354,0.4173437064056964,2.5826562935943036
1.8038040964810995,0.4049988595403917,2.5950011404596083
1.8942665974548556,0.39179336138907805,2.608206638610922
1.989265879389688,0.3809847318811648,2.6190152681188352
2.089029466190719,0.3689433611225015,2.6310566388774985
2.1937962923045675,0.35859913027557777,2.6414008697244222
2.3038172749689143,0.3472312646489759,2.652768735351024
2.41935591516094,0.3353537473692989,2.664646252630701
2.5406889286838985,0.3244539761624634,2.6755460238375366
2.668106908903286,0.3159806478940501,2.68401935210595
2.801915022719862,0.3036755542784504,2.6963244457215496
2.942433741446385,0.29430973482529943,2.7056902651747006
3.0899996083385135,0.28369257942835624,2.7163074205716438
3.2449660446181188,0.27563917555648354,2.7243608244435165
