,alpha,mmse,q
0,2e-05,1.0008675125582462,0.1991324874417538
1,0.00037286274509803916,0.998536637403565,0.20146336259643496
2,0.0007257254901960784,0.9970684546305814,0.20293154536941857
3,0.0010785882352941176,0.9955960462917864,0.20440395370821354
4,0.0014314509803921567,0.994106946209399,0.20589305379060097
5,0.0017843137254901957,0.9925982752363904,0.20740172476360952
6,0.0021371764705882352,0.991068827575683,0.20893117242431689
7,0.0024900392156862743,0.9895178853862334,0.21048211461376648
8,0.0028429019607843133,0.9879449164053029,0.212055083594697
9,0.0031957647058823524,0.9863494722151283,0.21365052778487176
10,0.0035486274509803914,0.9847311475392491,0.21526885246075095
11,0.003901490196078431,0.9830895619570403,0.21691043804295967
12,0.00425435294117647,0.9814243510387175,0.21857564896128248
13,0.004607215686274509,0.979735161864684,0.22026483813531597
14,0.0049600784313725485,0.9780216507570774,0.22197834924292265
15,0.005312941176470587,0.9762834822035382,0.22371651779646173
16,0.005665803921568627,0.9745203284604695,0.2254796715395304
17,0.006018666666666666,0.9727318695606741,0.2272681304393258
18,0.006371529411764705,0.9709177935709862,0.2290822064290138
19,0.006724392156862744,0.9690777970088587,0.2309222029911413
20,0.007077254901960783,0.9672115853603388,0.23278841463966118
21,0.007430117647058822,0.9653188736626461,0.23468112633735386
22,0.007782980392156862,0.9633993871262163,0.2366006128737836
23,0.0081358431372549,0.9614528617772209,0.23854713822277912
24,0.00848870588235294,0.9594790451072933,0.24052095489270664
25,0.008841568627450978,0.9574776967189245,0.24252230328107544
26,0.009194431372549017,0.9554485889577466,0.24455141104225334
27,0.009547294117647057,0.9533915075239565,0.2466084924760434
28,0.009900156862745096,0.9513062520561156,0.24869374794388432
29,0.010253019607843136,0.9491926366817687,0.2508073633182313
30,0.010605882352941173,0.947050490529582,0.25294950947041794
31,0.010958745098039213,0.9448796581990244,0.2551203418009756
32,0.011311607843137252,0.9426800001834799,0.2573199998165201
33,0.011664470588235292,0.9404513932440158,0.2595486067559841
34,0.012017333333333331,0.9381937307314177,0.26180626926858225
35,0.012370196078431369,0.9359069228544955,0.26409307714550445
36,0.012723058823529408,0.9335908968936739,0.26640910310632604
37,0.013075921568627448,0.9312455973592655,0.26875440264073447
38,0.013428784313725487,0.9288709860943217,0.27112901390567823
39,0.013781647058823527,0.9264670423228967,0.27353295767710334
40,0.014134509803921565,0.9240337626445339,0.27596623735546605
41,0.014487372549019604,0.9215711609767216,0.27842883902327825
42,0.014840235294117644,0.9190693463141505,0.28093065368584946
43,0.015193098039215683,0.9165491686296087,0.2834508313703913
44,0.015545960784313723,0.9139999250550388,0.28600007494496116
45,0.01589882352941176,0.9114217055896805,0.28857829441031946
46,0.0162516862745098,0.9088053981653661,0.2911946018346339
47,0.01660454901960784,0.9061720817692375,0.2938279182307625
48,0.01695741176470588,0.9035036812465058,0.29649631875349414
49,0.01731027450980392,0.9008036713452383,0.29919632865476165
50,0.017663137254901956,0.8981129480832688,0.3018870519167312
51,0.018015999999999997,0.8953665947152637,0.30463340528473626
52,0.018368862745098035,0.8925834742418949,0.3074165257581051
53,0.018721725490196076,0.8897689818473218,0.31023101815267823
54,0.019074588235294114,0.8869256913355915,0.31307430866440844
55,0.019427450980392152,0.8840632274701605,0.31593677252983937
56,0.019780313725490193,0.8811631654532731,0.31883683454672684
57,0.02013317647058823,0.8782444131793257,0.3217555868206743
58,0.020486039215686272,0.8752987928735052,0.3247012071264947
59,0.02083890196078431,0.8723158985474304,0.3276841014525696
60,0.021191764705882347,0.8693156293037768,0.33068437069622314
61,0.02154462745098039,0.8662891649208995,0.3337108350791005
62,0.021897490196078426,0.8632266820950436,0.3367733179049564
63,0.022250352941176468,0.8601472879444283,0.3398527120555716
