alpha,mmse,mmse_std
0.0011999999999999995,1.0613286704997138,0.016373404693254177
0.0014339504663773768,1.055179002272082,0.027990123118783825
0.0017135116166865797,1.0394657669643708,0.021497875809714462
0.0020475756515756457,1.0334474668708409,0.02366116228834778
0.0024467683837665474,1.0366626548354037,0.01951571667243928
0.0029237872208495524,1.015285844328839,0.028847946291157035
0.0034938050407711894,0.9935027693259951,0.023220631719178906
0.004174952806371233,0.9778219661893202,0.025009845908472786
0.004988896269832975,0.9618512155191843,0.027636833011771347
0.005961525110696122,0.9386023627292077,0.0213469684679526
0.007123776427335952,0.8975146950934834,0.01637401105224629
0.008512618775288796,0.8701216837578916,0.017481829668964576
0.010172228052431825,0.8065502728651687,0.018135183448491132
0.012155392633234709,0.7609506832049096,0.021737443167466664
0.014525192446189201,0.680829310758763,0.012735488903402712
0.01735700540202846,0.5918337019526229,0.014722503615930553
0.0207409049926278,0.4983684317114753,0.011226642889694875
0.024784525322722913,0.37633930418167433,0.010382670096198764
0.029616484704550354,0.25683674834944226,0.004693240251124118
0.03539047671212369,0.13816275186134902,0.0028378791739699137
0.042290158822222874,0.04787279508903203,0.0030350323929117674
0.050534994138583214,0.0057455986657745815,0.00082075513338051
0.06038723201116617,5.9961081253749684e-05,1.8458126894342356e-05
0.07216024958804215,1.6238443817258044e-08,4.388345210226433e-08
0.08622851962556746,2.7320013966172215e-12,2.828541411290505e-12
0.10303952161009437,1.5937472978840306e-12,1.527600326760872e-12
0.12312797505674725,1.7408739698220124e-12,1.5254744614914206e-12
0.1471328477139372,2.6896055914333542e-12,4.563843770798361e-12
0.17581767966569326,3.909183998034721e-12,7.009668900859504e-12
0.21009486979500744,1.9127471477600077e-12,1.6967592601247217e-12
0.25105469710503775,3.1488776169782367e-12,7.412844039555123e-12
