alpha,q,mmse
0.1,0.0,1.0
0.5634517524208993,4.344773393292488e-07,0.9999995655226607
0.5795125194229074,0.0007947735410601,0.9992052264589399
0.5960310864682813,0.0030971948227586,0.9969028051772414
0.6130205028017848,0.0068120877642619,0.9931879122357381
0.6304941896270565,0.0119435324034485,0.9880564675965515
0.6484659507090166,0.0183611707612537,0.9816388292387463
0.6669499832784872,0.0259319335121694,0.9740680664878306
0.6859608892476416,0.0346169047585578,0.9653830952414422
0.7055136867451405,0.0441480293418454,0.9558519706581546
0.7256238219800685,0.0548722879470771,0.9451277120529229
0.7463071814440442,0.0666233713988357,0.9333766286011643
0.7675801044611412,0.0785642789252677,0.9214357210747323
0.7894593960955356,0.0915959712573297,0.9084040287426703
0.811962340427076,0.1049640539254542,0.8950359460745458
0.8351067142052644,0.1195477940865164,0.8804522059134836
0.8589108008924315,0.1334854069607343,0.8665145930392657
0.8833934051072052,0.1488978702715691,0.8511021297284309
0.9085738674796764,0.163468405156157,0.836531594843843
0.9344720799300016,0.1795953483386722,0.8204046516613278
0.9611085013825104,0.1946408284112445,0.8053591715887555
0.988504173927731,0.2116425249184433,0.7883574750815567
1.0166807394451036,0.2269379646145586,0.7730620353854414
1.0456604566995094,0.2441675306922858,0.7558324693077142
1.0754662189251258,0.2595323075452435,0.7404676924547565
1.1061215719104942,0.2743223699208755,0.7256776300791246
1.13765073259909,0.2910919613229452,0.7089080386770548
1.1700786082200874,0.3068691970687785,0.6931308029312215
1.2034308159644318,0.3231144152184662,0.6768855847815338
1.2377337032217657,0.337579208201681,0.6624207917983189
1.27301436839419,0.3532922971641163,0.6467077028358836
1.3093006823033082,0.3665341198377478,0.6334658801622521
1.346621310207462,0.3846090381518046,0.6153909618481954
1.3850057344465492,0.3983425158020842,0.6016574841979159
1.4244842777323188,0.4123057061478212,0.5876942938521788
1.465088127102535,0.4282300245179042,0.5717699754820957
1.5068493585579394,0.442372431283293,0.5576275687167069
1.549800962401468,0.4556234943347169,0.5443765056652832
1.5939768692997474,0.4694917791973475,0.5305082208026525
1.6394119770874502,0.483684130178414,0.516315869821586
1.6861421783356918,0.4947942749412006,0.5052057250587993
1.734204388706241,0.5095268088703113,0.4904731911296887
1.7836365761139483,0.5207020218817359,0.47929797811826413
1.834477790720424,0.5329493266708095,0.4670506733291905
1.8867681957826663,0.5462648999803712,0.4537351000196288
1.9405490993810075,0.5574605969483587,0.4425394030516413
1.9958629870514355,0.5681579581607368,0.4318420418392632
2.052753555348079,0.5788519579725385,0.4211480420274615
2.111265746362371,0.591472804055652,0.40852719594434805
2.171445783226144,0.6011867041450065,0.3988132958549935
2.23334120662672,0.6129180954528705,0.38708190454712954
2.29700091236284,0.6228119005562839,0.3771880994437161
2.362475189971087,0.6311024247611813,0.3688975752388187
2.429815762453338,0.6425384320012532,0.35746156799874684
2.499075827136602,0.6523854683443786,0.3476145316556214
2.5703100976975515,0.6611712313949277,0.3388287686050723
2.6435748473849245,0.6717256576778611,0.3282743423221389
2.718927953473949,0.6786193007143864,0.32138069928561364
2.796428942987905,0.6877518973164265,0.3122481026835735
2.8761390397229496,0.6955307798338984,0.30446922016610156
2.9581212126133503,0.703543035775533,0.296456964224467
3.042440225475327,0.7114651502470217,0.2885348497529783
3.129162688168805,0.7208067296649842,0.27919327033501584
3.218357109217503,0.7283883304597798,0.2716116695402202
3.310093949928909,0.7366571220968825,0.2633428779031175
3.4044456800569085,0.7415467066510534,0.2584532933489466
3.501486835051033,0.7482126135107032,0.25178738648929677
3.6012940749375537,0.7551470553872918,0.24485294461270823
3.703946244878944,0.7621241388299569,0.2378758611700431
3.8095244374595327,0.7686621271377326,0.23133787286226737
3.9181120567465686,0.774339780866154,0.22566021913384604
4.029794884177298,0.7807319581129619,0.21926804188703808
4.144661146324103,0.7864511146465758,0.2135488853534242
4.262801584591233,0.793104490728519,0.20689550927148104
4.384309526898188,0.7972776185194327,0.20272238148056732
4.509280961406383,0.8034991084209558,0.19650089157904416
4.6378146123473405,0.8100936869375918,0.18990631306240824
4.770012018012303,0.8141351513384343,0.18586484866156572
4.905977610964877,0.8191855315261621,0.18081446847383786
5.045818800540086,0.8242772271808064,0.17572277281919357
5.189646057694998,0.8305285760179167,0.16947142398208326
5.337573002277943,0.8347357706644634,0.16526422933553664
5.489716492785287,0.8393946822008274,0.16060531779917264
5.6461967186766495,0.8427113767984363,0.15728862320156367
5.8071372953214935,0.8472632637391644,0.15273673626083561
5.972665361652113,0.8516673440622694,0.1483326559377306
6.142911680600116,0.8557403071654367,0.1442596928345633
6.3180107423957965,0.8593008655298418,0.14069913447015825
6.498100870811981,0.8639608652093286,0.13603913479067142
6.683324332436246,0.8673146901365593,0.13268530986344074
6.873827449057894,0.8708923397598247,0.12910766024017528
7.069760713258409,0.875134442052792,0.124865557947208
7.271278907296739,0.8771702446689835,0.12282975533101648
7.478541225383336,0.8814848471596083,0.11851515284039171
7.691711399439466,0.8839569635853192,0.11604303641468083
7.91095782844126,0.8868300477193339,0.11316995228066606
8.136453711450596,0.889888438446574,0.11011156155342605
8.368377184437891,0.8937803316076228,0.10621966839237718
8.606911461004982,0.8965174427317383,0.10348255726826172
8.852244977119161,0.8988276300841828,0.10117236991581724
9.104571539972763,0.9022274133234368,0.09777258667656319
9.36409048108591,0.9052782157579564,0.09472178424204358
9.631006813773254,0.9077933394150792,0.09220666058492077
9.90553139509928,0.910291211173591,0.08970878882640898
10.18788109244999,0.9126391170635074,0.08736088293649258
10.478278954852549,0.914483434383652,0.08551656561634802
