alpha,mmse,mmse_std
0.049999999999999996,0.8075142714127801,0.1837310471289022
0.056343880509541325,0.7498642775983331,0.1979846668448567
0.0634926574174694,0.6702939124372943,0.06436630639233412
0.07154845405526278,0.6737488228220812,0.18183890471994615
0.08062635091864265,0.5411979878457502,0.029322389520710635
0.09085602964160698,0.505006055531565,0.10471986164669492
0.10238362555396094,0.41432884860858815,0.05891467708846549
0.11537381528691996,0.35855639866785344,0.09104890090727825
0.13001216924912218,0.2354716760475965,0.0258263546634471
0.14650780257917606,0.16111127354022448,0.04631725805914719
0.16509636244473133,0.08107548216095736,0.010891823726307844
0.18604339436291734,0.02896439453982789,0.029862644162661017
0.20964813563147375,0.012855755933094955,0.029112635888100556
0.23624779006135738,0.0002994230114813061,8.586756493221384e-05
0.2662223450772065,0.0001539072022846025,2.183426683560949e-05
