alpha,mmse,mmse_std
0.06168072619797067,0.7785564208673919,0.07699085181130871
0.07385952904719474,0.7274076130288145,0.08093800322137508
0.08844302535551027,0.6799957363028393,0.06148536808065573
0.10590601964219439,0.5971665174398597,0.062326944748841574
0.12681706614363417,0.5398865076113635,0.05891666882375466
0.18184100103578024,0.4104917110670746,0.04528189413473126
0.21774534000890317,0.34622893249418507,0.03683168606924431
0.26073895780118117,0.3087611087986358,0.03945896011700416
0.3122216260171923,0.28028346211981703,0.03704369389339266
0.37386949988176216,0.25062619944871584,0.030558922256512924
0.44768968993243946,0.2121720990571778,0.03078103055390208
0.5360856088426296,0.20208724340485257,0.05147645200425045
0.6419352209150545,0.1813709961647702,0.03179642166867493
0.768684741865973,0.1547651369741906,0.05144614500375093
0.9204608395459063,0.13553234339704748,0.02546245436979819
1.1022049885898213,0.11569564181865304,0.01665002978085252
1.5804344365197618,0.09664788212497727,0.02388841200076806
1.8924897673328422,0.06621522269843251,0.004192387770635059
2.266160137174871,0.04903284706406445,0.008899876571652688
2.7136113790237624,0.0557330207675171,0.0
